race_id,race_name,class,surface,horse_name,age_sex,n_past_races,odds,popularity,field_size,act_rank,score,frame,weight_carried,sire,plus_factors,minus_factors,n_minus,odds_bucket
202509050408,3歳以上2勝クラス,2勝クラス,ダ,ゼンノツキヨミ,牝4,5,46.5,8,11,3,2.0,8,56.0,ロードカナロア,"training_rank,second_start,bloodline_distance",seasonal_sex,1,30倍以上
202509050410,竹田城S,3勝クラス,ダ,リューデスハイム,牡4,5,16.6,6,16,2,2.0,8,55.0,,training_rank,,0,15〜30倍
202509050509,ポインセチアS,OP,ダ,ロックターミガン,牡2,3,15.0,6,10,1,5.55,7,56.0,,"training_rank,second_start,distance_drop,prev2_run_bonus,grade_history,win_count,pace_fit",first_surface,1,15〜30倍
202509050512,3歳以上2勝クラス,2勝クラス,芝,タイキエクセロン,牡6,5,181.1,15,16,2,3.625,4,58.0,アメリカンペイトリオット,"training_rank,rising_trend,pace_fit","local_prev,post_surface",2,30倍以上
202509050608,3歳以上2勝クラス,2勝クラス,ダ,ビービーバザーク,牡3,5,179.1,13,15,2,2.0,3,57.0,,"second_start,inner_post_senko",,0,30倍以上
202509050608,3歳以上2勝クラス,2勝クラス,ダ,オセアバトルプラン,牡5,5,297.2,15,15,3,2.0,5,58.0,バトルプランBattle Plan,"training_rank,second_start",,0,30倍以上
202509050710,摩耶S,3勝クラス,ダ,ベルウェザー,牡4,5,34.6,10,16,2,3.0,3,58.0,ニューイヤーズデイ,"training_rank,pace_fit",,0,30倍以上
202509050712,3歳以上2勝クラス,2勝クラス,芝,コスモエクスプレス,牡6,5,104.1,7,9,3,-1.0,2,58.0,エイシンヒカリ,training_rank,"local_prev,post_surface",2,30倍以上
202509050809,フォーチュンC,2勝クラス,芝,レモンバーム,牝3,5,54.1,11,12,3,3.5,3,50.0,,"training_rank,second_start,pace_fit",seasonal_sex,1,30倍以上
202509050811,ギャラクシーS,OP,ダ,ナムラフランク,牡6,5,56.0,11,16,3,2.5,3,58.0,ミッキーアイル,"training_rank,inner_post_senko,bloodline_distance",,0,30倍以上
202509050811,ギャラクシーS,OP,ダ,ノーブルロジャー,牡4,5,5.3,2,16,1,1.75,2,58.0,パレスマリス,"training_rank,prev2_run_bonus,pace_fit",post_surface,1,3〜7倍
202509050812,カウントダウンS,3勝クラス,芝,バンドシェル,牡4,5,3.7,1,10,3,4.35,2,58.0,,"same_course,training_rank,prev_run_bonus",,0,3〜7倍
202602010411,UHB杯,3勝クラス,芝,サムハンター,牡8,5,34.7,13,15,3,0.0,5,52.0,,distance_drop,,0,30倍以上
202603010110,花見山特別,2勝クラス,芝,ハニーローリエ,牝4,5,19.0,7,16,3,4.625,4,56.0,ルーラーシップ,"training_rank,second_start,prev_run_bonus,prev2_run_bonus,win_count","first_surface,local_prev,post_surface",3,15〜30倍
