rid,cls,偏差値
202407040407,1勝クラス,46.97294545996904
202407040408,1勝クラス,41.01452771102614
202407040409,1勝クラス,48.660138707558886
202407040410,2勝クラス,56.11597274508182
202407040411,3勝クラス,55.41450379698641
202407040412,1勝クラス,41.79624911543748
202407040501,未勝利,48.6762050331258
202407040502,1勝クラス,47.963321397984885
202407040503,1勝クラス,41.90494698213382
202407040504,未勝利,48.47641131022304
202407040505,未勝利,43.99909591337699
202407040506,1勝クラス,47.109273157761194
202407040507,1勝クラス,43.802928534611404
202407040508,1勝クラス,43.50165957218298
202407040509,OP,58.14244435696563
202407040510,2勝クラス,51.75251579948577
202407040511,3勝クラス,70.98156509868556
202407040512,1勝クラス,42.933647829854415
202407040601,未勝利,45.720592887714474
202407040602,1勝クラス,40.789065706218295
202407040603,1勝クラス,45.01979721498322
202407040604,未勝利,47.39921540877207
202407040606,1勝クラス,46.78260816226915
202407040607,1勝クラス,41.78478991200659
202407040608,1勝クラス,47.04980310313175
202407040609,1勝クラス,58.97214185300318
202407040610,2勝クラス,48.72159717484401
202407040611,OP,73.74693174148506
202407040612,2勝クラス,49.540184998539395
202408050101,未勝利,48.74339932688018
202408050102,未勝利,46.93607779460064
202408050103,未勝利,44.49084977985377
202408050106,1勝クラス,46.49837776734859
202408050107,1勝クラス,55.26743899322699
202408050108,2勝クラス,52.17688077345681
202408050109,1勝クラス,62.25760438936385
202408050110,3勝クラス,41.082587023307674
202408050111,OP,74.1401966409718
202408050112,2勝クラス,59.382314422981835
202408050201,未勝利,51.09554519833621
202408050202,未勝利,47.26384391931222
202408050206,1勝クラス,51.25113329066903
202408050207,1勝クラス,44.51957931166423
202408050208,2勝クラス,48.72463811265335
202408050209,3勝クラス,60.20617441550163
202408050210,OP,62.3739256363695
202408050211,重賞,65.85761863802936
202408050212,2勝クラス,52.9345805527301
202408050301,未勝利,45.04119403211869
202408050302,未勝利,45.320193629477224
202408050303,未勝利,41.75709260926192
202408050306,1勝クラス,49.72288731824258
202408050307,1勝クラス,50.740683155242465
202408050308,1勝クラス,52.26408842910966
202408050309,2勝クラス,65.31935730548435
202408050310,3勝クラス,63.38520832719483
202408050311,OP,65.67555774303922
202408050312,2勝クラス,54.443753406214555
202408050401,未勝利,45.695073936576556
202408050402,未勝利,48.75050032854937
202408050403,未勝利,49.55334168295406
202408050406,1勝クラス,47.18761606851883
202408050407,2勝クラス,60.730256406656494
202408050408,OP,59.804104943233014
202408050409,1勝クラス,46.61891349466032
202408050410,3勝クラス,66.56996422133993
202408050411,重賞,69.57035423062533
202408050412,2勝クラス,49.136937431835996
202408050501,未勝利,55.12182060155878
202408050502,未勝利,48.37789377433043
202408050503,未勝利,47.59982833607671
